url,ville,nom,note,adresse,description,insee,lat,lon,date,pluiew_mean,tw_mean,lat_h,lon_h
https://www.booking.com/hotel/fr/charming-studio-proche-centre.fr.html,Gorges du Verdon,CHARMING studio proche centre,10.0,"243 Route des Gorges du Verdon, 04120 Castellane, France","Situé à Castellane, l’hébergement CHARMING studio proche centre offre une vue sur la montagne. Il propose une terrasse et une connexion Wi-Fi gratuite. Cet hébergement est installé à 19 km de : Golf du Château de Taulane. Il comprend un jardin et un parking privé gratuit.

Cette chambre d'hôtes comprend une télévision à écran plat. La kitchenette est pourvue d’un réfrigérateur et d’un micro-ondes. Elle est également dotée d’une machine à café et d’une bouilloire.

L'aéroport le plus proche (Aéroport de Nice-Côte d'Azur) est à 85 km. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.84507,6.50694
https://www.booking.com/hotel/fr/la-bastide-des-marcassins.fr.html,Gorges du Verdon,La Bastide des Marcassins,10.0,"81 All. du Rossignol, 83630 Moissac-Bellevue, France","Situé à Moissac-Bellevue, l’hébergement La Bastide des Marcassins offre une vue sur le jardin. Il possède une piscine extérieure ouverte en saison, une terrasse et une connexion Wi-Fi gratuite. Cet appartement possède une piscine privée, un jardin et un parking privé gratuit.

Bénéficiant d’un accès direct à un balcon, cet appartement comporte 1 chambre et une kitchenette entièrement équipée. Une télévision à écran plat est à disposition.

Vous séjournerez à respectivement 50 km et 43 km de ces lieux d’intérêt : Agence ITER de Cadarache et Golf de Saint-Endréol. L'aéroport le plus proche (Aéroport de Toulon - Hyères) est à 100 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.65037,6.18103
https://www.booking.com/hotel/fr/chambres-d-hotes-entre-gorges-du-verdon-et-castellane.fr.html,Gorges du Verdon,"Gorges du Verdon - Chambres d'Hotes des arches - Cadre magnifique,",9.6,"Chambre des arches 2388 Rte de Chasteuil, 04120 Castellane, France","Situé à Castellane, l’hébergement Gorges du Verdon - Chambres d'Hotes des arches - Cadre magnifique, offre une vue sur la montagne. Il propose un jardin, un salon commun, une terrasse et une connexion Wi-Fi gratuite. Cette chambre d'hôtes comprend un parking privé gratuit et une cuisine commune.

L’hébergement possède une cuisine équipée d’un réfrigérateur, d’un lave-vaisselle et d’un micro-ondes. Il comprend également une douche, des articles de toilette gratuits et un sèche-cheveux.

Un petit-déjeuner continental est servi sur place.

Vous séjournerez à 30 km de ce lieu d’intérêt : Golf du Château de Taulane. L'aéroport le plus proche (Aéroport de Nice-Côte d'Azur) est à 95 km. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.83677,6.42174
https://www.booking.com/hotel/fr/montagnac-village-house-verdon.fr.html,Gorges du Verdon,Montagnac Village House - Verdon,9.5,"53 Route Nouvelle, 04500 Montagnac, France","L’hébergement Montagnac Village House - Verdon vous accueille à Montagnac, à respectivement 37 km et 41 km de ces lieux d’intérêt : Agence ITER de Cadarache et Golf de Digne-les-Bains. Il propose des équipements tels qu’une connexion Wi-Fi gratuite et une télévision à écran plat. Cette maison de vacances est dans une région où vous pourrez pratiquer des activités telles que la randonnée et le vélo.

Cette maison de vacances se compose de 2 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et un sèche-cheveux. Des serviettes et du linge de lit moyennant des frais supplémentaires.

Vous séjournerez à 41 km de ce lieu d’intérêt : Golf du Luberon. L'aéroport le plus proche (Aéroport de Toulon - Hyères) est à 105 km. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.77882,6.09671
https://www.booking.com/hotel/fr/le-petit-paradis-provencal-lavandin-1.fr.html,Gorges du Verdon,Le Petit Paradis Provençal,9.6,"261C Imp. du Bosquet, 04500 Allemagne-en-Provence, France","Possédant une piscine extérieure ouverte en saison à Allemagne-en-Provence, l’établissement Le Petit Paradis Provençal comprend une connexion Wi-Fi gratuite et un parking privé gratuit.

L’établissement propose des hébergements avec vue sur le jardin, une terrasse, un coin salon et une télévision. Vous bénéficierez d’une cuisine entièrement équipée avec un réfrigérateur et un lave-vaisselle, ainsi que d’une salle de bains privative avec une douche et un sèche-cheveux. Un four, un micro-ondes et une plaque de cuisson sont également à votre disposition, de même qu’une machine à café et une bouilloire.

Durant votre séjour, vous pourrez aussi vous détendre dans le jardin.

Vous séjournerez à respectivement 31 km et 34 km de ces lieux d’intérêt : Agence ITER de Cadarache et Golf du Luberon. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 102 km. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.78818,6.01919
https://www.booking.com/hotel/fr/le-petit-fabre.fr.html,Gorges du Verdon,Le Petit Fabre,9.5,"campagne des fabres, 04500 Montagnac, France","L’établissement Le Petit Fabre se trouve à Montagnac, à 43 km de ce lieu d’intérêt : Agence ITER de Cadarache. Il propose un jardin, une terrasse, un barbecue et un parking privé gratuit. Construit en 1850, il est installé à 47 km de : Golf du Luberon. Cet établissement non-fumeurs vous accueille à 41 km de : Golf de Digne-les-Bains.

Tous les hébergements possèdent une armoire. Vous bénéficierez d’une machine à café, d’une salle de bains privative et d’une connexion Wi-Fi gratuite. Certains hébergements comprennent également un balcon et d’autres offrent une vue sur la montagne. Des serviettes et du linge de lit sont fournis.

Lors de votre séjour, vous pourrez pratiquer diverses activités à Montagnac et dans les environs, telles que la randonnée, la pêche et le vélo.

L'aéroport le plus proche (Aéroport de Toulon - Hyères) est à 109 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.77787,6.09888
https://www.booking.com/hotel/fr/destination-ailleurs-eoulx.fr.html,Gorges du Verdon,Destination Ailleurs,9.5,"Quartier Latinaud, 04120 Castellane, France","Situé à Castellane et offrant une vue sur la montagne, l’établissement Destination Ailleurs comprend un jardin, une terrasse et un bar.

Une cuisine équipée d’un réfrigérateur, d’un four et d’une plaque de cuisson est également présente dans certains logements.

L’établissement Destination Ailleurs sert un petit-déjeuner buffet ou continental.

Cet établissement dispose d’une aire de jeux pour enfants.

Vous pourrez jouer au ping-pong sur place, et pratiquer la randonnée et le ski dans les environs.

Vous séjournerez à 17 km de ce lieu d’intérêt : Golf du Château de Taulane. L'aéroport le plus proche (Aéroport de Nice-Côte d'Azur) est à 83 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.80473,6.54634
https://www.booking.com/hotel/fr/la-ruchette.fr.html,Gorges du Verdon,La ruchette,9.0,"76 Rte de Roumoules, 04500 Riez, France","L’hébergement La ruchette se situe à Riez, à respectivement 38 km et 35 km de ces lieux d’intérêt : Agence ITER de Cadarache et Golf de Digne-les-Bains. Il propose un jardin et la climatisation. Cet hébergement met à votre disposition une terrasse, une table de ping-pong, un parking privé gratuit et une connexion Wi-Fi gratuite.

Des serviettes et du linge de lit sont mis à votre disposition.

Vous séjournerez à 42 km de ce lieu d’intérêt : Golf du Luberon. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 110 km. Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de   pour un séjour à deux. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.81891,6.09565
https://www.booking.com/hotel/fr/vous-viendrez-vivre-ici-2-pieces-etage-1-garage-a-moto.fr.html,Gorges du Verdon,Vous viendrez vivre ici 2 pièces lavandes garage à moto,9.2,"26 Rue Basse, 04500 Riez, France","Offrant une vue sur la ville, l’hébergement Vous viendrez vivre ici 2 pièces lavandes garage à moto se situe à Riez, à respectivement 38 km et 35 km de ces lieux d’intérêt : Agence ITER de Cadarache et Golf de Digne-les-Bains. Cet appartement est à 42 km de : Golf du Luberon.

Cet appartement comporte 2 chambres, une cuisine avec un réfrigérateur et un four, ainsi que 1 salle de bains avec une douche et des articles de toilette gratuits. Des serviettes et du linge de lit sont à disposition.

L'aéroport le plus proche (Aéroport de Marseille Provence) est à 109 km. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.81781,6.09215
https://www.booking.com/hotel/fr/agreable-maison-en-provence.fr.html,Gorges du Verdon,Agréable maison en Provence,9.4,"39 Rue Roger Hivert, 04500 Allemagne-en-Provence, France","Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement Agréable maison en Provence.   pour voir si une réduction Genius est disponible à vos dates.
 
Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.
 L’hébergement Agréable maison en Provence vous accueille à respectivement 33 km et 43 km de ces lieux d’intérêt : Golf du Luberon et Golf de Digne-les-Bains. Il comprend une connexion Wi-Fi gratuite et une terrasse.

Cette maison de vacances compte 2 chambres, une cuisine avec un réfrigérateur et un four, une télévision à écran plat, un coin salon, ainsi que 1 salle de bains possédant une douche. Des serviettes et du linge de lit moyennant des frais supplémentaires.

L'aéroport le plus proche (Aéroport de Marseille Provence) est à 100 km. Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",41440,43.7496562,6.3285616,2025-10-06,0.3999999999999999,10.871428571428572,43.78226,6.00755
